input_data,target_data
অ*ানু**র বাচ*চ*,অমানুষের বাচ্চা
অমুসলিম*ের হত্যা,অমুসলিমদের হত্যা
অ-ম-ু-স-ল-ি-ম-দ-ে-র- -হ-ত-্-য-া,অমুসলিমদের হত্যা
অ/ম/ু/স/ল/ি/ম/দ/ে/র/ /হ/ত/্/য/া,অমুসলিমদের হত্যা
অমুসলিমদের **্যা,অমুসলিমদের হত্যা
অর্গাজ* করানো,অর্গাজম করানো
অ-র-্-গ-া-জ-ম- -ক-র-া-ন-ো,অর্গাজম করানো
অ/র/্/গ/া/জ/ম/ /ক/র/া/ন/ো,অর্গাজম করানো
*র্গাজম করা*ো,অর্গাজম করানো
অর্* উলঙ্গ,অর্ধ উলঙ্গ
অ-র-্-ধ- -উ-ল-ঙ-্-গ,অর্ধ উলঙ্গ
অ/র/্/ধ/ /উ/ল/ঙ/্/গ,অর্ধ উলঙ্গ
অ*্ধ উলঙ্গ,অর্ধ উলঙ্গ
অর্ধ ন*্ন,অর্ধ নগ্ন
অ-র-্-ধ- -ন-গ-্-ন,অর্ধ নগ্ন
অ/র/্/ধ/ /ন/গ/্/ন,অর্ধ নগ্ন
*র্ধ নগ্ন,অর্ধ নগ্ন
অর*ধ শিক্ষিত,অর্ধ শিক্ষিত
অ-র-্-ধ- -শ-ি-ক-্-ষ-ি-ত,অর্ধ শিক্ষিত
অ/র/্/ধ/ /শ/ি/ক/্/ষ/ি/ত,অর্ধ শিক্ষিত
*র্ধ শিক্*িত,অর্ধ শিক্ষিত
অর্ধউ*ঙ্গ হয়ে,অর্ধউলঙ্গ হয়ে
অ-র-্-ধ-উ-ল-ঙ-্-গ- -হ-য়-ে,অর্ধউলঙ্গ হয়ে
অ/র/্/ধ/উ/ল/ঙ/্/গ/ /হ/য়/ে,অর্ধউলঙ্গ হয়ে
অর্ধউল*্গ হয়ে,অর্ধউলঙ্গ হয়ে
অর্ধন*্ন কাপড়,অর্ধনগ্ন কাপড়
অ-র-্-ধ-ন-গ-্-ন- -ক-া-প-ড়,অর্ধনগ্ন কাপড়
অ/র/্/ধ/ন/গ/্/ন/ /ক/া/প/ড়,অর্ধনগ্ন কাপড়
অর্*নগ্ন ক*পড়,অর্ধনগ্ন কাপড়
অর্ধ*গ্ন ছবি,অর্ধনগ্ন ছবি
অ-র-্-ধ-ন-গ-্-ন- -ছ-ব-ি,অর্ধনগ্ন ছবি
অ/র/্/ধ/ন/গ/্/ন/ /ছ/ব/ি,অর্ধনগ্ন ছবি
*র্*নগ** **ি,অর্ধনগ্ন ছবি
অর্ধলগ্ন ছ*ি,অর্ধলগ্ন ছবি
অ-র-্-ধ-ল-গ-্-ন- -ছ-ব-ি,অর্ধলগ্ন ছবি
অ/র/্/ধ/ল/গ/্/ন/ /ছ/ব/ি,অর্ধলগ্ন ছবি
**্ধলগ** ছব*,অর্ধলগ্ন ছবি
অসভ্* অমানুষ,অসভ্য অমানুষ
অ-স-ভ-্-য- -অ-ম-া-ন-ু-ষ,অসভ্য অমানুষ
অ/স/ভ/্/য/ /অ/ম/া/ন/ু/ষ,অসভ্য অমানুষ
অ**্* অমানু*,অসভ্য অমানুষ
অ*ভ্য জাতি,অসভ্য জাতি
অ-স-ভ-্-য- -জ-া-ত-ি,অসভ্য জাতি
অ/স/ভ/্/য/ /জ/া/ত/ি,অসভ্য জাতি
অসভ্**জ***,অসভ্য জাতি
অসভ্* দেশ,অসভ্য দেশ
অ-স-ভ-্-য- -দ-ে-শ,অসভ্য দেশ
অ/স/ভ/্/য/ /দ/ে/শ,অসভ্য দেশ
অস*্য দে*,অসভ্য দেশ
অসভ্য প*র্টি,অসভ্য পার্টি
অ-স-ভ-্-য- -প-া-র-্-ট-ি,অসভ্য পার্টি
অ/স/ভ/্/য/ /প/া/র/্/ট/ি,অসভ্য পার্টি
অসভ্য পার*টি,অসভ্য পার্টি
অস*‍্য বর্বর,অসভ‍্য বর্বর
অ-স-ভ-‍-্-য- -ব-র-্-ব-র,অসভ‍্য বর্বর
অ/স/ভ/‍/্/য/ /ব/র/্/ব/র,অসভ‍্য বর্বর
অস*‍্য বর্বর,অসভ‍্য বর্বর
অসুস*থ মস্তিষ্কের,অসুস্থ মস্তিষ্কের
অ-স-ু-স-্-থ- -ম-স-্-ত-ি-ষ-্-ক-ে-র,অসুস্থ মস্তিষ্কের
অ/স/ু/স/্/থ/ /ম/স/্/ত/ি/ষ/্/ক/ে/র,অসুস্থ মস্তিষ্কের
*স*স্* ম**তিষ্*ের,অসুস্থ মস্তিষ্কের
আঁচলে* নিচে,আঁচলের নিচে
আ-ঁ-চ-ল-ে-র- -ন-ি-চ-ে,আঁচলের নিচে
আ/ঁ/চ/ল/ে/র/ /ন/ি/চ/ে,আঁচলের নিচে
*ঁচ**র নিচ*,আঁচলের নিচে
আঁটি *েল,আঁটি সেল
আ-ঁ-ট-ি- -স-ে-ল,আঁটি সেল
আ/ঁ/ট/ি/ /স/ে/ল,আঁটি সেল
আ**ি সেল,আঁটি সেল
আঁটি সেল*র,আঁটি সেলের
আ-ঁ-ট-ি- -স-ে-ল-ে-র,আঁটি সেলের
আ/ঁ/ট/ি/ /স/ে/ল/ে/র,আঁটি সেলের
আঁটি স*লের,আঁটি সেলের
আঁড়ব* নঁ*,আঁড়বী নঁ*
আ-ঁ-ড-়-ব-ী- -ন-ঁ-*,আঁড়বী নঁ*
আ/ঁ/ড/়/ব/ী/ /ন/ঁ/*,আঁড়বী নঁ*
*ঁড়বী নঁ*,আঁড়বী নঁ*
আ* পাক,আই পাক
আ-ই- -প-া-ক,আই পাক
আ/ই/ /প/া/ক,আই পাক
আ* পা*,আই পাক
আই ফ*ক,আই ফাক
আ-ই- -ফ-া-ক,আই ফাক
আ/ই/ /ফ/া/ক,আই ফাক
আই *াক,আই ফাক
আও*়ামী দালাল,আওয়ামী দালাল
আ-ও-য-়-া-ম-ী- -দ-া-ল-া-ল,আওয়ামী দালাল
আ/ও/য/়/া/ম/ী/ /দ/া/ল/া/ল,আওয়ামী দালাল
*ওয়া****াল*ল,আওয়ামী দালাল
আগুন*আপু,আগুন আপু
আ-গ-ু-ন- -আ-প-ু,আগুন আপু
আ/গ/ু/ন/ /আ/প/ু,আগুন আপু
*গুন**প*,আগুন আপু
আঙ*গুল দিয়া,আঙ্গুল দিয়া
আ-ঙ-্-গ-ু-ল- -দ-ি-য়-া,আঙ্গুল দিয়া
আ/ঙ/্/গ/ু/ল/ /দ/ি/য়/া,আঙ্গুল দিয়া
*ঙ্গ*ল দ*য়া,আঙ্গুল দিয়া
আঙ্গুল *িয়ে,আঙ্গুল দিয়ে
আ-ঙ-্-গ-ু-ল- -দ-ি-য়-ে,আঙ্গুল দিয়ে
আ/ঙ/্/গ/ু/ল/ /দ/ি/য়/ে,আঙ্গুল দিয়ে
**্*ুল*দি*ে,আঙ্গুল দিয়ে
আন্ডা থেরা*ি,আন্ডা থেরাপি
আ-ন-্-ড-া- -থ-ে-র-া-প-ি,আন্ডা থেরাপি
আ/ন/্/ড/া/ /থ/ে/র/া/প/ি,আন্ডা থেরাপি
আন্ডা থেরা*ি,আন্ডা থেরাপি
আন্ড* পারা,আন্ডা পারা
আ-ন-্-ড-া- -প-া-র-া,আন্ডা পারা
আ/ন/্/ড/া/ /প/া/র/া,আন্ডা পারা
*ন*ডা *ারা,আন্ডা পারা
আপ*ার দুধ,আপনার দুধ
আ-প-ন-া-র- -দ-ু-ধ,আপনার দুধ
আ/প/ন/া/র/ /দ/ু/ধ,আপনার দুধ
আপনা* দ**,আপনার দুধ
আপু আ*ুন,আপু আগুন
আ-প-ু- -আ-গ-ু-ন,আপু আগুন
আ/প/ু/ /আ/গ/ু/ন,আপু আগুন
*পু আগুন,আপু আগুন
আপ* সেক্সি,আপু সেক্সি
আ-প-ু- -স-ে-ক-্-স-ি,আপু সেক্সি
আ/প/ু/ /স/ে/ক/্/স/ি,আপু সেক্সি
*পু স*ক*সি,আপু সেক্সি
আপু*হট,আপু হট
আ-প-ু- -হ-ট,আপু হট
আ/প/ু/ /হ/ট,আপু হট
আপ* *ট,আপু হট
আপু*হিজাব,আপু হিজাব
আ-প-ু- -হ-ি-জ-া-ব,আপু হিজাব
আ/প/ু/ /হ/ি/জ/া/ব,আপু হিজাব
আপু **জাব,আপু হিজাব
আপুটা ক্ল*ন্ত,আপুটা ক্লান্ত
আ-প-ু-ট-া- -ক-্-ল-া-ন-্-ত,আপুটা ক্লান্ত
আ/প/ু/ট/া/ /ক/্/ল/া/ন/্/ত,আপুটা ক্লান্ত
আপুট* ক্লান্ত,আপুটা ক্লান্ত
আবাল *ুদা,আবাল চুদা
আ-ব-া-ল- -চ-ু-দ-া,আবাল চুদা
আ/ব/া/ল/ /চ/ু/দ/া,আবাল চুদা
আবা* চুদ*,আবাল চুদা
আবাল চুদা*া,আবাল চুদারা
আ-ব-া-ল- -চ-ু-দ-া-র-া,আবাল চুদারা
আ/ব/া/ল/ /চ/ু/দ/া/র/া,আবাল চুদারা
আ*া* চুদার*,আবাল চুদারা
আবাল চ*দা,আবাল চোদা
আ-ব-া-ল- -চ-ো-দ-া,আবাল চোদা
আ/ব/া/ল/ /চ/ো/দ/া,আবাল চোদা
আবাল *োদা,আবাল চোদা
আবাল চোদ*রা,আবাল চোদারা
আ-ব-া-ল- -চ-ো-দ-া-র-া,আবাল চোদারা
আ/ব/া/ল/ /চ/ো/দ/া/র/া,আবাল চোদারা
*বা* চো**রা,আবাল চোদারা
আবাল*ছাবাল,আবাল ছাবাল
আ-ব-া-ল- -ছ-া-ব-া-ল,আবাল ছাবাল
আ/ব/া/ল/ /ছ/া/ব/া/ল,আবাল ছাবাল
আব*ল**াব*ল,আবাল ছাবাল
আব*গে কাইন্দালছি,আবেগে কাইন্দালছি
আ-ব-ে-গ-ে- -ক-া-ই-ন-্-দ-া-ল-ছ-ি,আবেগে কাইন্দালছি
আ/ব/ে/গ/ে/ /ক/া/ই/ন/্/দ/া/ল/ছ/ি,আবেগে কাইন্দালছি
আবেগে কাইন*দা*ছি,আবেগে কাইন্দালছি
আব্বার ন*ম,আব্বার নাম
আ-ব-্-ব-া-র- -ন-া-ম,আব্বার নাম
আ/ব/্/ব/া/র/ /ন/া/ম,আব্বার নাম
আ**বার *া*,আব্বার নাম
আব্*ার হেডা,আব্বার হেডা
আ-ব-্-ব-া-র- -হ-ে-ড-া,আব্বার হেডা
আ/ব/্/ব/া/র/ /হ/ে/ড/া,আব্বার হেডা
আ*্বার*হ*ড*,আব্বার হেডা
আ*ার ধন,আমার ধন
আ-ম-া-র- -ধ-ন,আমার ধন
আ/ম/া/র/ /ধ/ন,আমার ধন
আমার*ধ*,আমার ধন
আ*ার ধনটা,আমার ধনটা
আ-ম-া-র- -ধ-ন-ট-া,আমার ধনটা
আ/ম/া/র/ /ধ/ন/ট/া,আমার ধনটা
আ*া**ধনটা,আমার ধনটা
আমা* বালের,আমার বালের
আ-ম-া-র- -ব-া-ল-ে-র,আমার বালের
আ/ম/া/র/ /ব/া/ল/ে/র,আমার বালের
আমার ব***র,আমার বালের
আমার *ালা,আমার হালা
আ-ম-া-র- -হ-া-ল-া,আমার হালা
আ/ম/া/র/ /হ/া/ল/া,আমার হালা
আ*া* হালা,আমার হালা
আম*র হেডা,আমার হেডা
আ-ম-া-র- -হ-ে-ড-া,আমার হেডা
আ/ম/া/র/ /হ/ে/ড/া,আমার হেডা
আ*ার*হ*ড*,আমার হেডা
আর জ*তেনা,আর জেতেনা
আ-র- -জ-ে-ত-ে-ন-া,আর জেতেনা
আ/র/ /জ/ে/ত/ে/ন/া,আর জেতেনা
আর জ*ত***,আর জেতেনা
আরএসএ* খুনিরা,আরএসএস খুনিরা
আ-র-এ-স-এ-স- -খ-ু-ন-ি-র-া,আরএসএস খুনিরা
আ/র/এ/স/এ/স/ /খ/ু/ন/ি/র/া,আরএসএস খুনিরা
আ*এসএস খুন*রা,আরএসএস খুনিরা
আর*সএস সন্ত্রাসী,আরএসএস সন্ত্রাসী
আ-র-এ-স-এ-স- -স-ন-্-ত-্-র-া-স-ী,আরএসএস সন্ত্রাসী
আ/র/এ/স/এ/স/ /স/ন/্/ত/্/র/া/স/ী,আরএসএস সন্ত্রাসী
আরএসএস**ন্ত**াসী,আরএসএস সন্ত্রাসী
আরব্য *র্গীরা,আরব্য বর্গীরা
আ-র-ব-্-য- -ব-র-্-গ-ী-র-া,আরব্য বর্গীরা
আ/র/ব/্/য/ /ব/র/্/গ/ী/র/া,আরব্য বর্গীরা
আরব্য বর*গ***,আরব্য বর্গীরা
ইংরেজের *ালাল,ইংরেজের দালাল
ই-ং-র-ে-জ-ে-র- -দ-া-ল-া-ল,ইংরেজের দালাল
ই/ং/র/ে/জ/ে/র/ /দ/া/ল/া/ল,ইংরেজের দালাল
ই*রেজ*র দাল**,ইংরেজের দালাল
ইমো স*ক্স,ইমো সেক্স
ই-ম-ো- -স-ে-ক-্-স,ইমো সেক্স
ই/ম/ো/ /স/ে/ক/্/স,ইমো সেক্স
ইম* সেক*স,ইমো সেক্স
ইমোতে সেক*স,ইমোতে সেক্স
ই-ম-ো-ত-ে- -স-ে-ক-্-স,ইমোতে সেক্স
ই/ম/ো/ত/ে/ /স/ে/ক/্/স,ইমোতে সেক্স
ই*ো** সেক*স,ইমোতে সেক্স
ইসলাম বি*্ধেষী,ইসলাম বিদ্ধেষী
ই-স-ল-া-ম- -ব-ি-দ-্-ধ-ে-ষ-ী,ইসলাম বিদ্ধেষী
ই/স/ল/া/ম/ /ব/ি/দ/্/ধ/ে/ষ/ী,ইসলাম বিদ্ধেষী
*সলা**বিদ্***ী,ইসলাম বিদ্ধেষী
ইস*াম বিদ্বেষ,ইসলাম বিদ্বেষ
ই-স-ল-া-ম- -ব-ি-দ-্-ব-ে-ষ,ইসলাম বিদ্বেষ
ই/স/ল/া/ম/ /ব/ি/দ/্/ব/ে/ষ,ইসলাম বিদ্বেষ
ইসল*ম****্ব*ষ,ইসলাম বিদ্বেষ
ইসলাম ব*দ্বেষী,ইসলাম বিদ্বেষী
ই-স-ল-া-ম- -ব-ি-দ-্-ব-ে-ষ-ী,ইসলাম বিদ্বেষী
ই/স/ল/া/ম/ /ব/ি/দ/্/ব/ে/ষ/ী,ইসলাম বিদ্বেষী
*সলাম বিদ্ব*ষী,ইসলাম বিদ্বেষী
ইসলা*িক জঙ্গি,ইসলামিক জঙ্গি
ই-স-ল-া-ম-ি-ক- -জ-ঙ-্-গ-ি,ইসলামিক জঙ্গি
ই/স/ল/া/ম/ি/ক/ /জ/ঙ/্/গ/ি,ইসলামিক জঙ্গি
ই*লা*িক *ঙ্গ*,ইসলামিক জঙ্গি
ইহুদি না*ারা,ইহুদি নাসারা
ই-হ-ু-দ-ি- -ন-া-স-া-র-া,ইহুদি নাসারা
ই/হ/ু/দ/ি/ /ন/া/স/া/র/া,ইহুদি নাসারা
ইহু*ি*নাস**া,ইহুদি নাসারা
ইহুদি বি*্বেষ,ইহুদি বিদ্বেষ
ই-হ-ু-দ-ি- -ব-ি-দ-্-ব-ে-ষ,ইহুদি বিদ্বেষ
ই/হ/ু/দ/ি/ /ব/ি/দ/্/ব/ে/ষ,ইহুদি বিদ্বেষ
***দি*বিদ*বেষ,ইহুদি বিদ্বেষ
ইহুদ*রা খারাপ,ইহুদিরা খারাপ
ই-হ-ু-দ-ি-র-া- -খ-া-র-া-প,ইহুদিরা খারাপ
ই/হ/ু/দ/ি/র/া/ /খ/া/র/া/প,ইহুদিরা খারাপ
ইহ*দ*রা *ারাপ,ইহুদিরা খারাপ
ইহুদী খ্রিষ্টানদ*র,ইহুদী খ্রিষ্টানদের
ই-হ-ু-দ-ী- -খ-্-র-ি-ষ-্-ট-া-ন-দ-ে-র,ইহুদী খ্রিষ্টানদের
ই/হ/ু/দ/ী/ /খ/্/র/ি/ষ/্/ট/া/ন/দ/ে/র,ইহুদী খ্রিষ্টানদের
ইহুদ* খ্রিষ*টা*দে*,ইহুদী খ্রিষ্টানদের
ইহুদী নাসা*া,ইহুদী নাসারা
ই-হ-ু-দ-ী- -ন-া-স-া-র-া,ইহুদী নাসারা
ই/হ/ু/দ/ী/ /ন/া/স/া/র/া,ইহুদী নাসারা
ইহুদী ***ার*,ইহুদী নাসারা
উ*্র জঙ্গি,উগ্র জঙ্গি
উ-গ-্-র- -জ-ঙ-্-গ-ি,উগ্র জঙ্গি
উ/গ/্/র/ /জ/ঙ/্/গ/ি,উগ্র জঙ্গি
উ*্র জ***ি,উগ্র জঙ্গি
উগ্রবাদী*জঙ্গি,উগ্রবাদী জঙ্গি
উ-গ-্-র-ব-া-দ-ী- -জ-ঙ-্-গ-ি,উগ্রবাদী জঙ্গি
উ/গ/্/র/ব/া/দ/ী/ /জ/ঙ/্/গ/ি,উগ্রবাদী জঙ্গি
*গ*রবাদী জঙ্গি,উগ্রবাদী জঙ্গি
উগ্রবা*ী জামাত,উগ্রবাদী জামাত
উ-গ-্-র-ব-া-দ-ী- -জ-া-ম-া-ত,উগ্রবাদী জামাত
উ/গ/্/র/ব/া/দ/ী/ /জ/া/ম/া/ত,উগ্রবাদী জামাত
উ*্রবাদী**ামাত,উগ্রবাদী জামাত
উগ্রবাদী জামা*ি,উগ্রবাদী জামাতি
উ-গ-্-র-ব-া-দ-ী- -জ-া-ম-া-ত-ি,উগ্রবাদী জামাতি
উ/গ/্/র/ব/া/দ/ী/ /জ/া/ম/া/ত/ি,উগ্রবাদী জামাতি
উগ*রবা** জ*মা*ি,উগ্রবাদী জামাতি
উটের*মুএ,উটের মুএ
উ-ট-ে-র- -ম-ু-এ,উটের মুএ
উ/ট/ে/র/ /ম/ু/এ,উটের মুএ
*টের মুএ,উটের মুএ
উটে* মুত,উটের মুত
উ-ট-ে-র- -ম-ু-ত,উটের মুত
উ/ট/ে/র/ /ম/ু/ত,উটের মুত
উটের**ু*,উটের মুত
উটে* মুতখোর,উটের মুতখোর
উ-ট-ে-র- -ম-ু-ত-খ-ো-র,উটের মুতখোর
উ/ট/ে/র/ /ম/ু/ত/খ/ো/র,উটের মুতখোর
উ*ের মুত*ো*,উটের মুতখোর
উটের*মুতের,উটের মুতের
উ-ট-ে-র- -ম-ু-ত-ে-র,উটের মুতের
উ/ট/ে/র/ /ম/ু/ত/ে/র,উটের মুতের
**ে**ম*তের,উটের মুতের
উট*র মুত্র,উটের মুত্র
উ-ট-ে-র- -ম-ু-ত-্-র,উটের মুত্র
উ/ট/ে/র/ /ম/ু/ত/্/র,উটের মুত্র
*টের****্র,উটের মুত্র
উটের ম*ত্রের,উটের মুত্রের
উ-ট-ে-র- -ম-ু-ত-্-র-ে-র,উটের মুত্রের
উ/ট/ে/র/ /ম/ু/ত/্/র/ে/র,উটের মুত্রের
উট*র মুত্**র,উটের মুত্রের
উ*ের মূত,উটের মূত
উ-ট-ে-র- -ম-ূ-ত,উটের মূত
উ/ট/ে/র/ /ম/ূ/ত,উটের মূত
উটের****,উটের মূত
উটের মূত*র,উটের মূত্র
উ-ট-ে-র- -ম-ূ-ত-্-র,উটের মূত্র
উ/ট/ে/র/ /ম/ূ/ত/্/র,উটের মূত্র
উটের মূত্*,উটের মূত্র
উটের *ূত্রখোর,উটের মূত্রখোর
উ-ট-ে-র- -ম-ূ-ত-্-র-খ-ো-র,উটের মূত্রখোর
উ/ট/ে/র/ /ম/ূ/ত/্/র/খ/ো/র,উটের মূত্রখোর
উটের *ূত*রখোর,উটের মূত্রখোর
উ*ের মুত,উঠের মুত
উ-ঠ-ে-র- -ম-ু-ত,উঠের মুত
উ/ঠ/ে/র/ /ম/ু/ত,উঠের মুত
উঠের ম*ত,উঠের মুত
উপরওয়ালা* গজব,উপরওয়ালার গজব
উ-প-র-ও-য়-া-ল-া-র- -গ-জ-ব,উপরওয়ালার গজব
উ/প/র/ও/য়/া/ল/া/র/ /গ/জ/ব,উপরওয়ালার গজব
উপ**য়ালা***জব,উপরওয়ালার গজব
উলংগ *রে,উলংগ করে
উ-ল-ং-গ- -ক-র-ে,উলংগ করে
উ/ল/ং/গ/ /ক/র/ে,উলংগ করে
উলং* *রে,উলংগ করে
উল*্গ মেয়ে,উলঙ্গ মেয়ে
উ-ল-ঙ-্-গ- -ম-ে-য়-ে,উলঙ্গ মেয়ে
উ/ল/ঙ/্/গ/ /ম/ে/য়/ে,উলঙ্গ মেয়ে
*লঙ্গ**ে**,উলঙ্গ মেয়ে
একদঙ্গল*পাকিস্তানী,একদঙ্গল পাকিস্তানী
এ-ক-দ-ঙ-্-গ-ল- -প-া-ক-ি-স-্-ত-া-ন-ী,একদঙ্গল পাকিস্তানী
এ/ক/দ/ঙ/্/গ/ল/ /প/া/ক/ি/স/্/ত/া/ন/ী,একদঙ্গল পাকিস্তানী
একদঙ্** প*ক*****নী,একদঙ্গল পাকিস্তানী
এক*ম ফালতু,একদম ফালতু
এ-ক-দ-ম- -ফ-া-ল-ত-ু,একদম ফালতু
এ/ক/দ/ম/ /ফ/া/ল/ত/ু,একদম ফালতু
একদম ফা*তু,একদম ফালতু
এটা জা*াত,এটা জামাত
এ-ট-া- -জ-া-ম-া-ত,এটা জামাত
এ/ট/া/ /জ/া/ম/া/ত,এটা জামাত
এট* জামাত,এটা জামাত
এ*া জামাতের,এটা জামাতের
এ-ট-া- -জ-া-ম-া-ত-ে-র,এটা জামাতের
এ/ট/া/ /জ/া/ম/া/ত/ে/র,এটা জামাতের
এটা*জামা*ের,এটা জামাতের
এ* আগুন,এত আগুন
এ-ত- -আ-গ-ু-ন,এত আগুন
এ/ত/ /আ/গ/ু/ন,এত আগুন
*ত *গ*ন,এত আগুন
এত *ুলকানি,এত চুলকানি
এ-ত- -চ-ু-ল-ক-া-ন-ি,এত চুলকানি
এ/ত/ /চ/ু/ল/ক/া/ন/ি,এত চুলকানি
এত*চ*লকা*ি,এত চুলকানি
এত *ুলকায়,এত চুলকায়
এ-ত- -চ-ু-ল-ক-া-য়,এত চুলকায়
এ/ত/ /চ/ু/ল/ক/া/য়,এত চুলকায়
এত*চুল*ায়,এত চুলকায়
এতো *াটছে,এতো ফাটছে
এ-ত-ো- -ফ-া-ট-ছ-ে,এতো ফাটছে
এ/ত/ো/ /ফ/া/ট/ছ/ে,এতো ফাটছে
*তো ফা*ছ*,এতো ফাটছে
এতো সে*্সি,এতো সেক্সি
এ-ত-ো- -স-ে-ক-্-স-ি,এতো সেক্সি
এ/ত/ো/ /স/ে/ক/্/স/ি,এতো সেক্সি
এ*ো স*ক্*ি,এতো সেক্সি
এদেশের*ছাগু,এদেশের ছাগু
এ-দ-ে-শ-ে-র- -ছ-া-গ-ু,এদেশের ছাগু
এ/দ/ে/শ/ে/র/ /ছ/া/গ/ু,এদেশের ছাগু
এদেশে* *াগু,এদেশের ছাগু
ওড়*া ছাড়া,ওড়না ছাড়া
ও-ড়-ন-া- -ছ-া-ড়-া,ওড়না ছাড়া
ও/ড়/ন/া/ /ছ/া/ড়/া,ওড়না ছাড়া
ও**া ছ*ড়া,ওড়না ছাড়া
ও*না নাই,ওড়না নাই
ও-ড়-ন-া- -ন-া-ই,ওড়না নাই
ও/ড়/ন/া/ /ন/া/ই,ওড়না নাই
*ড়ন* ন*ই,ওড়না নাই
ওড়*া নেই,ওড়না নেই
ও-ড-়-ন-া- -ন-ে-ই,ওড়না নেই
ও/ড/়/ন/া/ /ন/ে/ই,ওড়না নেই
ও*়*া নেই,ওড়না নেই
ওরে *ানকি,ওরে খানকি
ও-র-ে- -খ-া-ন-ক-ি,ওরে খানকি
